token,count,freq_per_1k
puzzle,92,0.3276329940669938
hex,92,0.3276329940669938
crashes,91,0.3240717658706134
issue,91,0.3240717658706134
later,91,0.3240717658706134
annoying,91,0.3240717658706134
ships,91,0.3240717658706134
under,90,0.3205105376742331
us,90,0.3205105376742331
half,90,0.3205105376742331
yourself,90,0.3205105376742331
vehicles,90,0.3205105376742331
boat,90,0.3205105376742331
screen,89,0.3169493094778527
perfect,88,0.31338808128147233
huge,88,0.31338808128147233
enjoyed,88,0.31338808128147233
100,87,0.309826853085092
doing,87,0.309826853085092
rocket,87,0.309826853085092
dragon,87,0.309826853085092
subsim,87,0.309826853085092
unplayable,86,0.3062656248887116
load,86,0.3062656248887116
someone,86,0.3062656248887116
highly,85,0.3027043966923313
solid,85,0.3027043966923313
problems,85,0.3027043966923313
low,85,0.3027043966923313
final,85,0.3027043966923313
idea,85,0.3027043966923313
tell,85,0.3027043966923313
features,85,0.3027043966923313
completely,85,0.3027043966923313
fact,85,0.3027043966923313
realistic,84,0.2991431684959509
maps,84,0.2991431684959509
base,84,0.2991431684959509
tutorial,84,0.2991431684959509
purchase,84,0.2991431684959509
basic,84,0.2991431684959509
crew,84,0.2991431684959509
design,83,0.2955819402995705
myself,83,0.2955819402995705
account,83,0.2955819402995705
jam,83,0.2955819402995705
refund,82,0.29202071210319014
although,82,0.29202071210319014
fantastic,82,0.29202071210319014
check,82,0.29202071210319014
fans,82,0.29202071210319014
day,81,0.28845948390680975
lack,81,0.28845948390680975
wrong,81,0.28845948390680975
title,81,0.28845948390680975
matches,81,0.28845948390680975
progress,80,0.2848982557104294
wanted,80,0.2848982557104294
early,80,0.2848982557104294
dead,80,0.2848982557104294
recommended,78,0.27777579931766866
whole,78,0.27777579931766866
often,78,0.27777579931766866
match,78,0.27777579931766866
menu,78,0.27777579931766866
basically,78,0.27777579931766866
im,78,0.27777579931766866
unless,78,0.27777579931766866
seen,78,0.27777579931766866
attack,78,0.27777579931766866
weekend,78,0.27777579931766866
spent,77,0.2742145711212883
enjoyable,77,0.2742145711212883
20,77,0.2742145711212883
everyone,77,0.2742145711212883
added,77,0.2742145711212883
shit,77,0.2742145711212883
variety,77,0.2742145711212883
running,76,0.27065334292490795
sound,76,0.27065334292490795
master,76,0.27065334292490795
skill,76,0.27065334292490795
tabletop,76,0.27065334292490795
infantry,76,0.27065334292490795
option,75,0.2670921147285276
goes,75,0.2670921147285276
he,75,0.2670921147285276
computer,75,0.2670921147285276
simulator,75,0.2670921147285276
15,75,0.2670921147285276
limited,75,0.2670921147285276
access,75,0.2670921147285276
friend,75,0.2670921147285276
frustrating,75,0.2670921147285276
control,75,0.2670921147285276
else,74,0.26353088653214723
couple,74,0.26353088653214723
hell,74,0.26353088653214723
keyboard,74,0.26353088653214723
left,74,0.26353088653214723
past,74,0.26353088653214723
army,74,0.26353088653214723
extremely,73,0.25996965833576685
engine,73,0.25996965833576685
hour,73,0.25996965833576685
release,73,0.25996965833576685
playable,73,0.25996965833576685
ui,73,0.25996965833576685
budget,73,0.25996965833576685
haven,73,0.25996965833576685
mobile,73,0.25996965833576685
others,72,0.25640843013938647
ago,72,0.25640843013938647
windjammers,72,0.25640843013938647
simply,71,0.2528472019430061
server,71,0.2528472019430061
click,71,0.2528472019430061
terrible,71,0.2528472019430061
launch,71,0.2528472019430061
sense,71,0.2528472019430061
000,71,0.2528472019430061
wont,71,0.2528472019430061
his,71,0.2528472019430061
ship,71,0.2528472019430061
fixed,70,0.24928597374662573
settings,70,0.24928597374662573
fucking,70,0.24928597374662573
windows,70,0.24928597374662573
trucks,70,0.24928597374662573
sounds,69,0.24572474555024534
