appid,reviewId,cluster_id,cluster_size
435020,48410179,1,35
435020,48891625,0,14
435020,49828052,1,35
435020,49864084,2,2
435020,51815404,1,35
435020,52048665,1,35
435020,52223448,3,7
435020,52707723,1,35
435020,54867219,0,14
435020,55518024,1,35
435020,55975295,8,5
435020,57040466,0,14
435020,57411848,5,17
435020,58793949,1,35
435020,59713783,1,35
435020,60729378,0,14
435020,61400504,5,17
435020,61924435,5,17
435020,63188599,1,35
435020,63203260,5,17
435020,66474585,1,35
435020,71858167,9,13
435020,72082975,3,7
435020,72348878,3,7
435020,74741775,1,35
435020,75410179,5,17
435020,76845415,6,4
435020,77906667,6,4
435020,82445075,9,13
435020,88145778,4,2
435020,89544714,5,17
435020,96211481,1,35
435020,98195003,9,13
435020,99708347,0,14
435020,121871974,1,35
435020,122006871,5,17
435020,143130983,5,17
435020,152025582,5,17
435480,23544427,5,13
435480,23544820,10,13
435480,23544980,3,42
435480,23544993,3,42
435480,23545083,10,13
435480,23545307,3,42
435480,23545627,1,19
435480,23545662,10,13
435480,23545693,10,13
435480,23545841,5,13
435480,23546595,3,42
435480,23548582,3,42
435480,23551162,3,42
435480,23551852,6,22
435480,23551918,3,42
435480,23552799,3,42
435480,23553951,3,42
435480,23558034,3,42
435480,23559272,6,22
435480,23559529,7,14
435480,23562615,10,13
435480,23563124,10,13
435480,23565052,1,19
435480,23565387,1,19
435480,23568263,3,42
435480,23570674,6,22
435480,23574157,1,19
435480,23590138,10,13
435480,23590291,7,14
435480,23600991,2,12
435480,23607788,6,22
435480,23608239,1,19
435480,23608387,3,42
435480,23610976,2,12
435480,23615194,6,22
435480,23617957,3,42
435480,23620185,3,42
435480,23622576,10,13
435480,23623216,6,22
435480,23623733,6,22
435480,23624916,3,42
435480,23636257,3,42
435480,23643886,1,19
435480,23648404,6,22
435480,23649012,6,22
435480,23657832,6,22
435480,23665196,4,1
435480,23668961,6,22
435480,23670575,7,14
435480,23712201,7,14
435480,23785812,1,19
435480,23803380,7,14
435480,23941370,1,19
435480,24207412,6,22
435480,24338805,7,14
435480,24527726,7,14
435480,25431846,7,14
435480,25493143,6,22
435480,25950714,7,14
435480,29097979,7,14
435480,29753783,1,19
435480,30114198,11,3
435480,30740611,8,4
435480,30786219,6,22
435480,31307823,3,42
435480,33216121,3,42
435480,33333099,10,13
435480,33883032,6,22
435480,35687926,3,42
435480,38002782,5,13
435480,38124368,5,13
435480,38230533,3,42
435480,38475536,9,2
435480,39723808,5,13
435480,40243764,9,2
435480,40306178,6,22
435480,41053746,1,19
435480,41240255,1,19
435480,41390119,1,19
435480,41579445,10,13
435480,42935621,3,42
435480,43199975,3,42
435480,43303417,1,19
435480,43558794,3,42
435480,46834511,7,14
435480,48656524,5,13
435480,49023286,2,12
435480,49029374,3,42
435480,49250349,3,42
435480,49696832,3,42
435480,49708494,5,13
435480,49711927,3,42
435480,49743497,10,13
435480,49747082,2,12
435480,49805958,3,42
435480,50192176,6,22
435480,50482711,3,42
435480,50564182,2,12
435480,50567433,6,22
435480,51471981,5,13
435480,52879524,1,19
435480,55242304,3,42
435480,59524917,2,12
435480,65516758,6,22
435480,65708101,2,12
435480,66119621,3,42
435480,67875285,3,42
435480,72860269,2,12
435480,73426532,8,4
435480,75342180,1,19
435480,76502300,3,42
435480,81283245,1,19
435480,81491036,6,22
435480,82148989,6,22
435480,83500160,1,19
435480,84831648,3,42
435480,89799218,10,13
435480,90206798,3,42
435480,90389166,3,42
435480,90481185,3,42
435480,98503057,7,14
435480,99788403,0,1
435480,115473538,3,42
435480,116049142,1,19
435480,117141476,2,12
435480,120750569,6,22
435480,126682819,2,12
435480,130054713,10,13
435480,131372783,5,13
435480,138415080,8,4
435480,144551364,5,13
435480,152544715,2,12
435480,155373018,1,19
435480,159944796,5,13
435480,164196406,11,3
435480,177937912,3,42
435480,185272431,7,14
435480,185373082,3,42
435480,185532211,5,13
435480,189057423,11,3
435480,189375153,7,14
435480,196369192,2,12
435480,196710598,3,42
435480,198963491,3,42
435480,200299590,5,13
435480,201782175,8,4
1273440,116084187,2,25
1273440,116089176,6,26
1273440,116115697,5,21
1273440,116126823,6,26
1273440,116207679,5,21
1273440,116342324,1,19
1273440,116431435,2,25
1273440,116493598,8,25
1273440,116526059,11,3
1273440,116548352,8,25
1273440,116551443,1,19
1273440,116575511,6,26
1273440,116684885,0,7
1273440,116740642,1,19
1273440,116752903,9,2
1273440,116888819,1,19
1273440,117002147,1,19
1273440,117089838,6,26
1273440,117179354,2,25
1273440,117202099,1,19
